"Aggregated Date/Time","Variable","Depth","Site Name","Latitude","Longitude","mean","median","p5","p95","lowest","highest"
2015-08-01T00:00,"temp","-0.5","Townsville","-19.21198359","146.849004",23.221358890469112,23.090020455275344,22.48234859985575,24.373991570829457,22.254022885583097,24.81371879480935
2015-08-01T00:00,"salt","-0.5","Abbot_Point","-19.90061004","148.1010626",36.130827492609455,36.14538346726737,36.031569403058576,36.204705972993416,36.020979765016584,36.20868297565048
2015-08-01T00:00,"salt","-0.5","Cairns","-16.89878375","145.8178076",35.457781217568254,35.459880354311345,35.36197119484348,35.552556389054814,35.348071674292406,35.56532205707421
2015-08-01T00:00,"salt","-0.5","Clairview","-22.06885743","149.8251086",36.69537555982551,36.6981694524236,36.58823673264043,36.78294010153234,36.549594163787305,36.80468950515716
2015-08-01T00:00,"salt","-0.5","Gladstone","-23.64082179","151.2817002",36.09738729417657,36.1049960751562,36.03719061840172,36.12575203898095,35.938674905334366,36.134691310241536
2015-08-01T00:00,"salt","-0.5","HayPoint","-21.15475782","149.3594377",36.95637754041931,36.97986127115007,36.86796129142816,37.00350911209498,36.83272995709148,37.00598717984383
2015-08-01T00:00,"salt","-0.5","Mourilyan","-17.58245583","146.1094631",34.7419660868174,34.741850027694134,34.433008770399795,35.044724560667085,34.240998166541665,35.181388754269996
2015-08-01T00:00,"salt","-0.5","OSRA","-14.41893939","144.7233729",35.65970819226842,35.65911227743589,35.63321686181471,35.685159140706006,35.62720408078182,35.7033900039271
2015-08-01T00:00,"salt","-0.5","Townsville","-19.21198359","146.849004",36.28416689378866,36.28791940502137,36.21422821003776,36.317033741046714,36.181875117761045,36.33278274445926
2015-09-01T00:00,"eta","99999.9","Abbot_Point","-19.90061004","148.1010626",-0.09461178927458379,-0.1019659112201924,-1.3164800469668871,1.2466231370028564,-1.6421744561921148,1.665219495420897
2015-09-01T00:00,"eta","99999.9","Cairns","-16.89878375","145.8178076",-0.012705194735085234,-0.021818961804415556,-1.0153092808496558,1.0468770695862464,-1.3310612340405281,1.4814850180774348
2015-09-01T00:00,"eta","99999.9","Clairview","-22.06885743","149.8251086",-0.18597426957333388,-0.268641740255731,-3.2598480563801755,3.0609492057887038,-3.885024497017795,4.045017720101013
2015-09-01T00:00,"eta","99999.9","Gladstone","-23.64082179","151.2817002",-0.19930589641043828,-0.23058967535050898,-1.6499041819725542,1.4189494159612588,-2.081947027839728,1.922257560707155
